epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,798.665,0.87228,1.0419,0.8782,0.99101,1,0.995,0.74294,0.85621,1.1412,0.99195,0.0011684,0.0011684,0.0011684
65,810.598,1.00719,1.10169,0.97891,0.99101,1,0.995,0.74294,0.85621,1.1412,0.99195,0.0011552,0.0011552,0.0011552
66,822.814,0.93613,1.04628,0.89316,0.99685,1,0.995,0.76954,0.81495,1.05533,0.98049,0.001142,0.001142,0.001142
67,834.839,0.92828,0.99974,0.95018,0.99715,1,0.995,0.76625,0.83211,1.07609,0.97627,0.0011288,0.0011288,0.0011288
68,846.817,0.88354,1.02911,0.92819,0.99671,1,0.995,0.74844,0.88694,1.06157,0.98729,0.0011156,0.0011156,0.0011156
69,858.404,0.97809,1.08036,0.96011,0.99671,1,0.995,0.74844,0.88694,1.06157,0.98729,0.0011024,0.0011024,0.0011024
70,870.581,1.05536,1.21181,0.95634,0.99652,1,0.995,0.75881,0.88729,1.04651,0.98798,0.0010892,0.0010892,0.0010892
71,882.875,0.88315,0.96561,0.8926,0.99731,1,0.995,0.77505,0.83082,1.02791,0.98193,0.001076,0.001076,0.001076
72,894.784,0.90758,0.99908,0.93087,1,0.97176,0.99278,0.74741,0.87576,0.9902,1.00086,0.0010628,0.0010628,0.0010628
73,906.347,0.87675,0.96144,0.90556,1,0.97176,0.99278,0.74741,0.87576,0.9902,1.00086,0.0010496,0.0010496,0.0010496
74,917.955,0.8882,0.98443,0.95322,1,0.97135,0.99202,0.72088,0.93498,1.03913,1.03192,0.0010364,0.0010364,0.0010364
75,929.953,1.05319,1.06063,0.93602,1,0.99451,0.995,0.73173,0.87437,0.99707,1.02222,0.0010232,0.0010232,0.0010232
76,942.403,0.91934,0.94616,0.94698,0.99736,1,0.995,0.78087,0.74483,0.98057,0.96756,0.00101,0.00101,0.00101
77,954.094,0.84657,0.97042,0.88701,0.99736,1,0.995,0.78087,0.74483,0.98057,0.96756,0.0009968,0.0009968,0.0009968
78,965.771,0.79439,0.8484,0.86437,0.99823,1,0.995,0.76682,0.68088,0.89777,0.94426,0.0009836,0.0009836,0.0009836
79,977.529,0.81234,0.85859,0.88948,0.99675,1,0.995,0.7133,0.79511,0.94407,0.96994,0.0009704,0.0009704,0.0009704
80,989.377,0.93373,0.9492,0.92327,0.99816,1,0.995,0.77998,0.72166,0.89316,0.95651,0.0009572,0.0009572,0.0009572
81,1001.36,0.8676,0.86404,0.89508,0.99816,1,0.995,0.77998,0.72166,0.89316,0.95651,0.000944,0.000944,0.000944
82,1013.53,0.86601,0.85853,0.89985,0.99854,1,0.995,0.81625,0.64065,0.82604,0.9285,0.0009308,0.0009308,0.0009308
83,1025.48,0.81788,0.81306,0.91086,0.99868,1,0.995,0.8271,0.6926,0.79962,0.94041,0.0009176,0.0009176,0.0009176
84,1037.22,0.83311,0.87613,0.88462,0.99813,1,0.995,0.81082,0.68802,0.80047,0.94631,0.0009044,0.0009044,0.0009044
85,1048.93,0.88775,0.895,0.96367,0.99813,1,0.995,0.81082,0.68802,0.80047,0.94631,0.0008912,0.0008912,0.0008912
86,1061.27,0.91615,0.89984,0.99645,0.99839,1,0.995,0.79925,0.69083,0.85168,0.95315,0.000878,0.000878,0.000878
87,1072.99,0.7865,0.78216,0.88163,0.99573,1,0.995,0.8133,0.70848,0.85005,0.94943,0.0008648,0.0008648,0.0008648
88,1084.58,0.81263,0.80736,0.92916,0.97542,0.99237,0.99378,0.79933,0.7683,0.88247,0.95414,0.0008516,0.0008516,0.0008516
89,1096.15,0.89466,0.86045,0.92388,0.97542,0.99237,0.99378,0.79933,0.7683,0.88247,0.95414,0.0008384,0.0008384,0.0008384
90,1108.05,0.82917,0.76151,0.86695,0.97547,0.99442,0.99378,0.78757,0.77725,0.88543,0.9584,0.0008252,0.0008252,0.0008252
91,1120.33,0.8436,0.81611,0.90259,1,0.97187,0.99451,0.80489,0.69434,0.84186,0.94657,0.000812,0.000812,0.000812
92,1132.42,0.79047,0.75663,0.90708,0.99428,1,0.995,0.80802,0.66387,0.79041,0.94049,0.0007988,0.0007988,0.0007988
93,1144.3,0.79983,0.84936,0.8821,0.99428,1,0.995,0.80802,0.66387,0.79041,0.94049,0.0007856,0.0007856,0.0007856
94,1156.26,0.78689,0.76796,0.87108,0.99394,1,0.995,0.82817,0.67359,0.79485,0.9393,0.0007724,0.0007724,0.0007724
95,1168.14,0.74787,0.80661,0.83806,0.99779,1,0.995,0.79606,0.70066,0.78846,0.94592,0.0007592,0.0007592,0.0007592
96,1180.23,0.82728,0.81328,0.93663,0.99805,1,0.995,0.82285,0.6701,0.76557,0.93753,0.000746,0.000746,0.000746
97,1191.91,0.74669,0.76699,0.86091,0.99805,1,0.995,0.82285,0.6701,0.76557,0.93753,0.0007328,0.0007328,0.0007328
98,1203.53,0.87833,0.92169,0.89049,0.99802,1,0.995,0.83085,0.62356,0.75265,0.92924,0.0007196,0.0007196,0.0007196
99,1215.52,0.69881,0.78247,0.86102,0.99791,1,0.995,0.85642,0.55826,0.74527,0.91291,0.0007064,0.0007064,0.0007064
100,1227.55,0.66936,0.72188,0.86571,0.99798,1,0.995,0.85053,0.57475,0.72352,0.9139,0.0006932,0.0006932,0.0006932
101,1239.56,0.72405,0.73853,0.85128,0.99798,1,0.995,0.85053,0.57475,0.72352,0.9139,0.00068,0.00068,0.00068
102,1251.07,0.76952,0.719,0.89324,0.99826,1,0.995,0.84066,0.59611,0.6985,0.92389,0.0006668,0.0006668,0.0006668
